ID,developerProfile_ID,componentCategory_ID,sapModule_ID,responsibilityLevel_code,active
70000000-0000-0000-0000-000000000001,20000000-0000-0000-0000-000000000001,60000000-0000-0000-0000-000000000002,,PRIMARY,true
70000000-0000-0000-0000-000000000002,20000000-0000-0000-0000-000000000001,60000000-0000-0000-0000-000000000003,,PRIMARY,true
70000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000001,60000000-0000-0000-0000-000000000004,,PRIMARY,true
70000000-0000-0000-0000-000000000004,20000000-0000-0000-0000-000000000001,60000000-0000-0000-0000-000000000005,,BACKUP,true
70000000-0000-0000-0000-000000000005,20000000-0000-0000-0000-000000000001,60000000-0000-0000-0000-000000000011,,PRIMARY,true
70000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,60000000-0000-0000-0000-000000000001,,PRIMARY,true
70000000-0000-0000-0000-000000000007,20000000-0000-0000-0000-000000000002,60000000-0000-0000-0000-000000000006,,BACKUP,true
70000000-0000-0000-0000-000000000008,20000000-0000-0000-0000-000000000002,60000000-0000-0000-0000-000000000009,,PRIMARY,true
70000000-0000-0000-0000-000000000009,20000000-0000-0000-0000-000000000003,60000000-0000-0000-0000-000000000013,30000000-0000-0000-0000-000000000001,PRIMARY,true
70000000-0000-0000-0000-000000000010,20000000-0000-0000-0000-000000000003,60000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,BACKUP,true
70000000-0000-0000-0000-000000000011,20000000-0000-0000-0000-000000000004,60000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000002,PRIMARY,true
70000000-0000-0000-0000-000000000012,20000000-0000-0000-0000-000000000004,60000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000004,BACKUP,true
70000000-0000-0000-0000-000000000013,20000000-0000-0000-0000-000000000005,60000000-0000-0000-0000-000000000011,30000000-0000-0000-0000-000000000003,PRIMARY,true
70000000-0000-0000-0000-000000000014,20000000-0000-0000-0000-000000000005,60000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000003,PRIMARY,true
70000000-0000-0000-0000-000000000015,20000000-0000-0000-0000-000000000006,60000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000002,PRIMARY,true
70000000-0000-0000-0000-000000000016,20000000-0000-0000-0000-000000000006,60000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000004,BACKUP,true
70000000-0000-0000-0000-000000000017,20000000-0000-0000-0000-000000000007,60000000-0000-0000-0000-000000000012,30000000-0000-0000-0000-000000000001,PRIMARY,true
70000000-0000-0000-0000-000000000018,20000000-0000-0000-0000-000000000007,60000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000004,BACKUP,true
70000000-0000-0000-0000-000000000019,20000000-0000-0000-0000-000000000008,60000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000002,PRIMARY,true
70000000-0000-0000-0000-000000000020,20000000-0000-0000-0000-000000000008,60000000-0000-0000-0000-000000000012,30000000-0000-0000-0000-000000000002,BACKUP,true
70000000-0000-0000-0000-000000000021,20000000-0000-0000-0000-000000000009,60000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000003,PRIMARY,true
70000000-0000-0000-0000-000000000022,20000000-0000-0000-0000-000000000009,60000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000003,BACKUP,true
70000000-0000-0000-0000-000000000023,20000000-0000-0000-0000-000000000010,60000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000001,PRIMARY,true
70000000-0000-0000-0000-000000000024,20000000-0000-0000-0000-000000000010,60000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000001,BACKUP,true
70000000-0000-0000-0000-000000000025,20000000-0000-0000-0000-000000000011,60000000-0000-0000-0000-000000000011,30000000-0000-0000-0000-000000000004,EXPERT,true
70000000-0000-0000-0000-000000000026,20000000-0000-0000-0000-000000000011,60000000-0000-0000-0000-000000000012,30000000-0000-0000-0000-000000000004,EXPERT,true
70000000-0000-0000-0000-000000000027,20000000-0000-0000-0000-000000000011,60000000-0000-0000-0000-000000000013,30000000-0000-0000-0000-000000000004,EXPERT,true
70000000-0000-0000-0000-000000000028,20000000-0000-0000-0000-000000000012,60000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000001,BACKUP,true
70000000-0000-0000-0000-000000000029,20000000-0000-0000-0000-000000000012,60000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000003,BACKUP,true
70000000-0000-0000-0000-000000000030,20000000-0000-0000-0000-000000000012,60000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000002,BACKUP,true
70000000-0000-0000-0000-000000000031,20000000-0000-0000-0000-000000000005,60000000-0000-0000-0000-000000000028,,PRIMARY,true
70000000-0000-0000-0000-000000000032,20000000-0000-0000-0000-000000000006,60000000-0000-0000-0000-000000000028,,BACKUP,true
70000000-0000-0000-0000-000000000033,20000000-0000-0000-0000-000000000009,60000000-0000-0000-0000-000000000029,,PRIMARY,true
70000000-0000-0000-0000-000000000034,20000000-0000-0000-0000-000000000011,60000000-0000-0000-0000-000000000029,,BACKUP,true
70000000-0000-0000-0000-000000000035,20000000-0000-0000-0000-000000000011,60000000-0000-0000-0000-000000000030,,PRIMARY,true
70000000-0000-0000-0000-000000000036,20000000-0000-0000-0000-000000000005,60000000-0000-0000-0000-000000000030,,BACKUP,true
70000000-0000-0000-0000-000000000037,20000000-0000-0000-0000-000000000007,60000000-0000-0000-0000-000000000031,,PRIMARY,true
70000000-0000-0000-0000-000000000038,20000000-0000-0000-0000-000000000011,60000000-0000-0000-0000-000000000031,,BACKUP,true
