ID,component_ID,defectCategory_ID,active
60000000-0000-0000-0000-000000000001,40000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000001,true
60000000-0000-0000-0000-000000000002,40000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000002,true
60000000-0000-0000-0000-000000000003,40000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000003,true
60000000-0000-0000-0000-000000000004,40000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000002,true
60000000-0000-0000-0000-000000000005,40000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000004,true
60000000-0000-0000-0000-000000000006,40000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000005,true
60000000-0000-0000-0000-000000000007,40000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000002,true
60000000-0000-0000-0000-000000000008,40000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000006,true
60000000-0000-0000-0000-000000000009,40000000-0000-0000-0000-000000000004,50000000-0000-0000-0000-000000000001,true
60000000-0000-0000-0000-000000000010,40000000-0000-0000-0000-000000000004,50000000-0000-0000-0000-000000000003,true
60000000-0000-0000-0000-000000000011,40000000-0000-0000-0000-000000000006,50000000-0000-0000-0000-000000000002,true
60000000-0000-0000-0000-000000000012,40000000-0000-0000-0000-000000000007,50000000-0000-0000-0000-000000000003,true
