ID,user_ID,availabilityStatus_code,workloadLimit,active
20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000002,AVAILABLE,5,true
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000003,AVAILABLE,5,true
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000005,AVAILABLE,4,true
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000006,BUSY,2,true
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000007,AVAILABLE,5,true
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000008,BUSY,3,true
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000009,AVAILABLE,4,true
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000010,BUSY,2,true
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000011,AVAILABLE,4,true
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000012,AVAILABLE,3,true
20000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000013,AVAILABLE,2,true
20000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000014,UNAVAILABLE,1,true
